path,extension,kind,source_family,audience,content_scope,authorship,generator_owner,generator_type,title,word_count,site_targets,nav_targets,nav_paths,heading_count,mkdocs_features,normalization_flags,transclusions,includes,jinja_expression_count,jinja_statement_count,html_tag_count,images,internal_links,external_links,data_dependencies,size_bytes,sha256,foundry_record_type,organizational,known_exceptions,review_flags
assets/icons/attacks/arc-discharge.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,309496,82ad885e21c3aa5c1c15f77edbd6d8f3e9bde59c63dc9f2c00e2239e91f824e1,,False,,
assets/icons/attacks/augmented-jab.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,346084,05c45a41b192df536bc142b8e017e75679086b557f485928d811b1c22a33468e,,False,,
assets/icons/attacks/auto-plate.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,438994,41cfbb1c04e4f0f80a9045f0baaef775516c06c024b5a946def35019be595ec5,,False,,
assets/icons/attacks/barricade-burst.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,462598,b292e45cefb9996b1a7bc43344fc99de04e9d07ff25c19677fe93f95a20df877,,False,,
assets/icons/attacks/baton-strike.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,352988,8ceb5edd005ff674e30ac4d9b42cf53288dd138f3dc9f24b0ada6f11e8ff8706,,False,,
assets/icons/attacks/blade-in-the-shadows.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,94734,eb7b451f75721be1c4439ccac991c094d90e7b712e972218d12f22d5e6a9936a,,False,,
assets/icons/attacks/blade-spin.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,518716,2495c7d825af1759834f7b11c999990e06138283f27df3cf38172b696e0b7388,,False,,
assets/icons/attacks/briefcase-bash.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,435428,e4548f44bb3ecc269fe7615b78c20462788aaf96d58e15c5f7c142540bf99e37,,False,,
assets/icons/attacks/burst-fire.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,248344,9f3064a048f282f0eb4c399ae2b04be6857cfedb211aa3bcf8e87157fab23813,,False,,
assets/icons/attacks/camera-smash.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,443970,cdaf08ad894e29798f59d4be0f76ff187f33533c781610cb8afdf14143022e16,,False,,
assets/icons/attacks/combat-strike.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,535022,86d511a956007df05440fccf400df219e79b567951b0f11ebb080dff6765b3ff,,False,,
assets/icons/attacks/crate-hook.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,331384,621e353a37a4def58aac11aab5d976964a825e0dcfca54565681a87b8eaa2d6b,,False,,
assets/icons/attacks/crowbar.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,368962,b564675954b5f27b17301a4539534e74081991bc788d0a366588abb19818e93a,,False,,
assets/icons/attacks/decoy-blast.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,659306,04fcaa5be620277b73fbe74988ab0497c3396a0373d6f31a32b2b93ebdbd8953,,False,,
assets/icons/attacks/desperate-swing.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,334748,a9fc5cdbad244e8d5b8b22b0bd9fb67ba5ab851b44003ca1debfb83e9ad3eb15,,False,,
assets/icons/attacks/desperate-swipe.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,627586,1acb0bff6d5bdb81155b511743e0e2ff6204b9665f1687bbeb7db6151ecf2932,,False,,
assets/icons/attacks/disabling-kick.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,420696,94ea26e377be453ad9d5ec1434af18fe68d56ca8e3f33a5256c09753ada3c4f8,,False,,
assets/icons/attacks/drone-burst.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,325934,33c5d97e7e367438284d99af733b3d6b8e17be8f16ede65eb3727e6dc56a5794,,False,,
assets/icons/attacks/filament-slice.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,160466,707e75e351f953252df2f405ee7f607f60716e1eb0feba11bdb3702dacf1618c,,False,,
assets/icons/attacks/foam-jet.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,245538,a6b75761348aacfafedb564b993475e8d61916c7b76e54d1a41e00b46fe7d8ca,,False,,
assets/icons/attacks/fragment-blast.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,571524,d4ea45fbefcd181b5c90d46c278d8a67be4466014678ac8ab8f4eeebbca50429,,False,,
assets/icons/attacks/gang-knife.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,189734,bcb1f9f8934151230077210b380ce82bbd452be2682a6fc89a3487a1a56472cd,,False,,
assets/icons/attacks/hard-right-hook.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,438086,8360f77de9fa58f1284230f8e28aa4de4f1e20bbbdafe093c0302bc1f1c3376f,,False,,
assets/icons/attacks/heavy-pistol.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,202256,5d8158394b542d75dd8a0aa23090e2266a5974d1bde5262de442e60ea1073f07,,False,,
assets/icons/attacks/helmet-smash.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,424428,de394f46f32e2a4ca8991e952c8e0738f6358fd2d693a0b20f8d532e4c18e264,,False,,
assets/icons/attacks/hidden-cane.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,326538,ca7d28f9abf90db574973166258ea3c5ca4ea58fecd9b429f677e61cece8eb9b,,False,,
assets/icons/attacks/hidden-stiletto.webp,.webp,asset,asset,unknown,unknown,unknown,,,,0,,,,0,,,,,0,0,0,,,,,327394,2d2afb9717527f3a496eb59427dbfca077c95e40a4484f6df119ab53e9d4120a,,False,,
